Not-heritage,Heritage,Maybe-heritage,Don't Know,Heritage with no damage,Damaged heritage,Damaged Not-heritage,Not -damaged Not-heritage
CD_EnUfVIAARi_T,CD1S7nzVEAAbHLW,CDmZjOXWEAAxp-O,,CDcEEpbUgAA4Kt1,CD2ukx1WAAExTEC,CD0iJxTWMAAVAFN,CD_f7NvVEAAxMkV
CD_-EPWUgAA5T_S,CD1U2pMWEAANQtA,CDnBJ5aXIAAqVDK,,CDcfx4kUgAETXBA,CD2vqPSWoAAiQpv,CD0inddUIAA91oI,CD_g8kJVAAAjAA0
CD_eTBxWMAEbXF8,CD1-wylWYAASiFT,CDnN1arWAAI6lR_,,CDcsbXsVEAAGLZ2,CD3xgSbVEAA5VDB,CD0J-_qUUAAw35f,CD_H3BuVIAA9dcL
CD_-F4nUEAAvvsT,CD244XZWoAAlp-j,CDnPGI7WgAEBlj8,,CDcYTT0UMAAuhsD,CD45yzYUgAAt5D0,CD0JMfuUkAAVeTG,CD_iSEnUIAA1NKG
CD_f7NvVEAAxMkV,CD2E5sGUgAAy7Uz,CDnTCkuWAAA41dZ,,CDdUclOUUAEVKC_,CD4bpp7WgAAftrF,CD0jqklXIAAMah7,CD_K1R_VAAAP-U3
CD_faGEUkAAmyjD,CD2FqGfUMAAfFWc,CDnZ6WOWoAAQgoj,,CDfIGNzVIAEP6fA,CD4VsIUUkAE8HeH,CD0JStrUMAABpg1,CD-_KJVUEAAd5dK
CD_g8kJVAAAjAA0,CD2Oys9UUAA-zKn,CDoxet3WEAMu03_,,CDfOVwOW8AAB7BA,CD53NyQWgAA3FtH,CD0luIWUEAEqRiY,CD_kmnlUEAAjv6u
CD_gXXkVIAAm6rc,CD2sl-mVAAAMRrk,CDpbjjSWEAAZrAn,,CDfYECsUgAAGJb4,CD55Of0UgAEP4lw,CD0MfxzXIAIC1tv,CD_M-6sW8AA-FGa
CD_H3BuVIAA9dcL,CD2TtnoWYAAVZzn,CDpFtZPWMAIpPIG,,CDgIt7YW8AAq6RH,CD5f5c4VAAAG_6D,CD0mr69VAAAJ7dl,CD_MScXUgAElDK9
CD_hD8GUEAACrJ7,CD2ukx1WAAExTEC,CDptSGLWMAAuctB,,CDgqfQJW0AAdjgh,CD5GlcjUkAATODW,CD0MXUTUgAEiK8K,CD_NuATVIAED79e
CD_IdoWUUAAtJVD,CD2vqPSWoAAiQpv,CDrtPjFVAAEIB-Y,,CDgqsLoUgAAwE_k,CD6efbbWoAAju0n,CD0pHOuUMAEPwHH,CD_ob2-UkAAkH_a
CD_iSEnUIAA1NKG,CD3dVCrWgAAm8Z6,CDu10rWUgAE3yNw,,CDgWA0gUMAAxUDt,CD6eyIRWIAAeQBv,CD0pjiTVEAAoeSZ,CD_oIU0WoAEt-fx
CD_jx8bVIAI2mkz,CD3xgSbVEAA5VDB,CEADfkBWEAEdgll,,CDgyPGHVIAAiG5_,CD6jZMKW0AEb2zH,CD0pP90XIAAqCCG,CD_okK0UkAA8loM
CD_K1R_VAAAP-U3,CD45yzYUgAAt5D0,CEAOsSdUgAAkn0Q,,CDh2BMZUEAAQByG,CD6OxT6VAAAuHJd,CD0PvWQVAAAG_tl,CD_p7HpUEAAcwo-
CD-_KJVUEAAd5dK,CD4bpp7WgAAftrF,CEEi8khVIAEyEty,,CDhfR4cWEAEyHS7,CD6QsXfWIAAj1MT,CD0rQd0W0AAkRkS,CD_s8LIVAAATZ80
CD_kmnlUEAAjv6u,CD4VsIUUkAE8HeH,CEEtheAUMAE0tNW,,CDhV1-RVAAAhAIx,CD6tXYkUsAAqIPT,CD0rT2dUEAAKuS-,CD_uEZzUEAAgmMS
CD_M-6sW8AA-FGa,CD53NyQWgAA3FtH,CEhwiPKUsAEx9WW,,CDhVTdMUEAEUrKB,CD6VSz-VEAALx86,CD0scc_WAAAWh1K,CD_UgerUEAArj8f
CD_MScXUgAElDK9,CD55Of0UgAEP4lw,CEIb2KRVAAA__64,,CDhZ9bOUsAI3PR6,CD78MuRVAAAXtTd,CD0smKEUEAAlM92,CD_ULZYUIAA_VxZ
CD_NuATVIAED79e,CD58ogzUgAAq2WJ,CEJ6N6KUgAEU7sF,,CDiXMyhW0AEw0EE,CD7cN6PWoAEByCw,CD0StbiWYAAC_PM,CD_VklCW8AAarjz
CD_ob2-UkAAkH_a,CD5f5c4VAAAG_6D,CELDvWCVAAEc4tv,,CDj34PnUgAEYllh,CD7dE4IUgAA13HX,CD0THqhVIAAOVPR,CD_vX1IVIAA4i2e
CD_oIU0WoAEt-fx,CD5GlcjUkAATODW,CELMu92VIAEeOEN,,CDj7MZ4UEAAGFuA,CD7iwFKWYAAwi7J,CD0Tq4UWoAEt8fo,CD_wgNBVEAEHJkY
CD_okK0UkAA8loM,CD5oNU3UkAATPHa,CEMcSj7UsAAVLjM,,CDk_BcHVIAAsyCX,CD7VjRVUUAEr_t6,CD0uaxpUgAAZNgA,CD_wrTYUkAA99DV
CD_p7HpUEAAcwo-,CD6efbbWoAAju0n,CEN5SnoW0AAw9O5,,CDk1wMIUEAAapwM,CD7w3dWW0AAwDKh,CD0v-P-WIAACwDj,CD_WvQVW8AIDpyU
CD_s8LIVAAATZ80,CD6eyIRWIAAeQBv,CENQRg4UIAEg-kL,,CDk4A3fW0AAxM3S,CD8_T2LWMAAXOY8,CD0vxVTUMAIUJIs,CD_wxTEUIAEMb8N
CD_uEZzUEAAgmMS,CD6jZMKW0AEb2zH,CEOCWT5WEAAXDwS,,CDkcQc0WEAAhwig,CD8Hf5hVEAAgGxq,CD0wmsMWgAAHKIS,CD_YekWUUAAwW8Q
CD_UgerUEAArj8f,CD6OxT6VAAAuHJd,CEOluYUUUAES-nO,,CDkGNjXUEAAt5eE,CD8IyyhUMAAC6at,CD0Wro9UgAA0lHE,CD_YrGwVAAEWNlX
CD_uJtMVIAAjMKd,CD6QsXfWIAAj1MT,CEORV_5UgAAMmi6,,CDkK0kuVEAAGA6I,CDa4bqgUIAECz3I,CD0WWbBVIAAOHIh,CD_z44EWgAAoEh2
CD_ULZYUIAA_VxZ,CD6tXYkUsAAqIPT,CEOu0dyVAAE5_Kt,,CDkmepEUkAAOi2c,CDa-kDfUMAEG4wX,CD0xpVfUkAA7k3c,CD_z5S8WYAALkND
CD_v_9xUMAAp-fL,CD6VSz-VEAALx86,CEowd9CVAAAk9ON,,CDkxNZ3WYAAdNC3,CDa-MSUVEAIuMPM,CD0yuvSWIAAol3s,CD_ZcfQVIAANvSn
CD_VklCW8AAarjz,CD70oRGVAAAXLwF,CEPVfVFUkAEALmW,,CDkY8wuWIAAPW1W,CDb_czuVIAAgsr9,CD0zyHQVIAA_vDn,CD0_JIuWAAABcKS
CD_vX1IVIAA4i2e,CD78MuRVAAAXtTd,CEQ06SXWEAEl4lA,,CDl491ZUMAAd7C1,CDb1DT2WIAACLa_,CD1_GK3W0AEDBI6,CD0_vhNWYAA0cEI
CD_W1mXUgAATgjq,CD7dE4IUgAA13HX,CEU2sn2UMAE9ZPY,,CDl97bXUEAAT2tw,CDb2gGWVIAACez8,CD10STzUkAAl-W4,CD00fjpWAAApYXI
CD_wgNBVEAEHJkY,CD7iwFKWYAAwi7J,CEUjDNJUIAEFbYW,,CDlAO6dW0AElSMT,CDb51LMVAAAyaCM,CD11xzcXIAAlKRP,CD00fv4W0AACzdr
CD_wKcmVEAAS8CJ,CD7mlkBVEAAzZNb,CEWkSu6WEAEDhhP,,CDlD3c8UkAE5DYF,CDb5AetUUAAV1id,CD14mRGXIAAk93h,CD01OfUUEAANVCj
CD_wrTYUkAA99DV,CD7VjRVUUAEr_t6,CEWXw8bW8AI3i9a,,CDljbh_W8AATCac,CDb7ZadUEAE7P11,CD15KiDUEAA-Ykl,CD01YvbUsAAQ9tj
CD_WvQVW8AIDpyU,CD7w3dWW0AAwDKh,,,CDllwfMWMAExLBj,CDb8p8kWIAAgrtM,CD15sv3XIAAG3ng,CD02GdHUMAEddtJ
CD_wxTEUIAEMb8N,CD8_T2LWMAAXOY8,,,CDlO2vdW8AASbL9,CDb8xh5UsAEAKYM,CD17DxqVIAAX7T1,CD032IfWEAAsw1q
CD_WYwQW8AETRsC,CD8GjyvUgAA6ril,,,CDlpaIBUsAEKPJK,CDbBDEqUkAAcPzU,CD18mdZW8AATrNx,CD03aIVUMAAOjfr
CD_y0-cUEAIUVBc,CD8Hf5hVEAAgGxq,,,CDlWPD7VEAAE1QS,CDbEu9JWgAMxxyB,CD1AFJzWgAAF27I,CD03i7BUIAAEVWb
CD_YekWUUAAwW8Q,CD8IyyhUMAAC6at,,,CDlXDzaWoAAWegQ,CDbGl14UgAAeIkH,CD1Bz9aUsAArnOU,CD04I3pUUAAsP4Q
CD_YrGwVAAEWNlX,CDa4bqgUIAECz3I,,,CDlZ22YWoAAQGCV,CDbhcQEWoAE4t3U,CD1d7eYVIAAacSw,CD05YmGVIAIzN2V
CD_z44EWgAAoEh2,CDa-kDfUMAEG4wX,,,CDlzM9AUIAA0s7A,CDbHt3EUIAA4kwA,CD1FUWDWoAAo6z7,CD07yJiUIAA42_a
CD_z5S8WYAALkND,CDa-MSUVEAIuMPM,,,CDm5lpuW8AIrHKl,CDbk7czVIAAMQ2S,CD1GisuWgAIREAm,CD08AniUIAAqOsF
CD_ZcfQVIAANvSn,CDb_czuVIAAgsr9,,,CDmaDOoXIAE0EuG,CDbOnkKWMAAGYrb,CD1hNpjVEAA1SCK,CD08V2SUEAAO3-e
CD0_7_yUgAE5reO,CDb_FJxWoAA0yFj,,,CDmcBMRWMAEc12S,CDbOOtXUUAE1Yxs,CD1iNFvWAAAgOym,CD095dmWoAAsuL4
CD0_JIuWAAABcKS,CDb1DT2WIAACLa_,,,CDmcfFFW0AAUxZx,CDbpdF8XIAMjEZZ,CD1jf69WMAI2jLK,CD09Lv6UMAA1UTQ
CD0_vhNWYAA0cEI,CDb2gGWVIAACez8,,,CDmDNpQW0AAIXUD,CDbQE4VUkAAMeTo,CD1K8HtUUAAqHWY,CD09rE2UEAAWVeF
CD00fjpWAAApYXI,CDb3xz5UEAAjfv-,,,CDmH1sXWEAENNOo,CDbSM0OUsAA0fO3,CD1kHKvUMAA_6WG,CD0A2YbUMAArAAO
CD00fv4W0AACzdr,CDb51LMVAAAyaCM,,,CDmiVexW8AEjoCq,CDbT6l1UsAInjtY,CD1MqW5VIAAyNrd,CD0AGnlWEAAaDPA
CD01OfUUEAANVCj,CDb5AetUUAAV1id,,,CDmJ6uoWgAAdbXl,CDbv0_iVEAAc0bc,CD1NAEmUUAAs4nN,CD0AKf6WIAAc0V5
CD01YvbUsAAQ9tj,CDb7ZadUEAE7P11,,,CDmkfpxWoAA2rvE,CDbVKJNWgAAZsqk,CD1nlDMWMAAeL7M,CD0a-woUgAAK-Ip
CD026SyUkAMz17X,CDb8p8kWIAAgrtM,,,CDmKK9tWMAED2ur,CDc0L7JWEAA54yK,CD1opduUEAAR94g,CD0bcfTVIAAw83O
CD02GdHUMAEddtJ,CDb8xh5UsAEAKYM,,,CDmknGWWgAAXwGh,CDc48zFUkAARolf,CD1Q6U2WgAEgh8W,CD0BrvMUgAAU2Wb
CD02hyYUUAEVBX5,CDbBDEqUkAAcPzU,,,CDmkYc1WMAAHMlC,CDc94maWoAAT5Ag,CD1RURYUkAASifr,CD0bxA2WMAARCF_
CD0-2LJVEAARtO8,CDbBoleUsAA8lk0,,,CDmLuZEW0AIWSa7,CDcaowiXIAAuK7k,CD1SHIlUkAAoAQ5,CD0C_N0VIAAeh3V
CD032IfWEAAsw1q,CDbBsOpVIAA2zps,,,CDmQNg_WMAEU_oC,CDcbCKTVIAE9gsj,CD1sNT2WIAEXAij,CD0cBkqUEAAXjkF
CD034COUIAAOAop,CDbbWbiVIAAYlzF,,,CDmtCv6WYAQkTWY,CDcCH4PUkAAj2EV,CD1T8T7XIAApLnm,CD0CeZAUMAAtqqR
CD03aIVUMAAOjfr,CDbEu9JWgAMxxyB,,,CDmTr2TW8AIs9d3,CDcfx4kUgAETXBA,CD1tlEdUUAARlNg,CD0c-hrW0AEygNn
CD03H-uUsAAth9d,CDbGl14UgAAeIkH,,,CDmVKnPWEAASo9G,CDcifeCW0AEfi7L,CD1TQJ9UMAAsvty,CD0cRM_UgAAJ3o_
CD03i7BUIAAEVWb,CDbhcQEWoAE4t3U,,,CDnsEX2W8AASsnE,CDclNUzWoAEBt0n,CD1UC2FXIAANAXC,CD0DFodUEAAqDhs
CD04C2kWoAEe080,CDbHt3EUIAA4kwA,,,CDnXemvXIAEBJw5,CDcNEgrUgAAgBQR,CD1VU5HUUAA31DC,CD0DsNtUIAAY6ZM
CD04I3pUUAAsP4Q,CDbk7czVIAAMQ2S,,,CDomGEwWgAANJEN,CDcnIJDUsAA8lgn,CD1vYwmWoAAqvtG,CD0dvcEVIAAaVvj
CD04tpNUUAAm4PQ,CDbM-ZFVIAA_n8y,,,CDoN5JiWYAAepNP,CDcOPInUkAAvYDM,CD1W2zzUgAARMbP,CD0e1fVUMAEf5b3
CD05E64W8AEfaZS,CDbOnkKWMAAGYrb,,,CDotx8HWAAEy3N2,CDcS8kCUMAMlp-5,CD1W5q3VAAEkazL,CD0EgChUEAAVhd_
CD05YmGVIAIzN2V,CDbOOtXUUAE1Yxs,,,CDoxQHcW0AAOKJx,CDcTgzAVAAA3CcA,CD1xkuOUUAAR5Be,CD0F32RWoAApBPJ
CD06TlaUsAAidPh,CDbpdF8XIAMjEZZ,,,CDpG3jWWEAAd6Xd,CDctLwrUUAAet-x,CD1Y73FWgAAkpGe,CD0fEjWVAAA6bgp
CD07yJiUIAA42_a,CDbQ9vVVAAAEmU8,,,CDpm_5GWAAEo4RP,CDcYTT0UMAAuhsD,CD1YWv_UMAIyhJO,CD0FJ2wVEAA1ga6
CD08AniUIAAqOsF,CDbQE4VUkAAMeTo,,,CDppxmpWMAEaFoD,CDd4jhZUEAEiAay,CD2_PtjWAAAICVD,CD0FWQ0UkAAd1z2
CD08V2SUEAAO3-e,CDbrXYEUIAAxIzQ,,,CDpTumrWgAI2h6E,CDd4vnBWMAI4IaY,CD21i4VUsAAVRhf,CD0gqZIUsAEN2mV
CD095dmWoAAsuL4,CDbSM0OUsAA0fO3,,,CDpusxZWMAAzM5h,CDdnFmHWAAAvH-z,CD23S-mVIAAEVA1,CD0GUqzUsAAxDgY
CD09Lv6UMAA1UTQ,CDbT6l1UsAInjtY,,,CDpUtHYWEAA35Xr,CDdPgJKVEAACjGf,CD261TcUMAA6SzP,CD0hF1oWEAAseH2
CD09rE2UEAAWVeF,CDbv0_iVEAAc0bc,,,CDq7JK2VAAABGrK,CDdQGRgWgAEXH-W,CD2bEoVWAAAVhQ8,CD0HwhCUUAE9mFD
CD09tyLWMAEIGyx,CDbVKJNWgAAZsqk,,,CDqcxObUUAAKwJt,CDdrfkTUEAAyKyk,CD2BEXyUMAAv2LB,CD0hXP3WgAA-2nv
CD0A2YbUMAArAAO,CDbYh9uUsAAl3iK,,,CDqD3jNWIAAVxKq,CDdRqQ5WMAEp1tW,CD2CltNUEAE8Tox,CD0i0vLUMAAnJxg
CD0AGnlWEAAaDPA,CDc0L7JWEAA54yK,,,CDqFavYUgAEU2Z3,CDdtEfTVEAA75Ow,CD2d5olUkAAfi5q,CD0-IfZVEAAas0z
CD0AKf6WIAAc0V5,CDc94maWoAAT5Ag,,,CDqkvzLUIAAyUh5,CDdwqSoWgAAq0Qi,CD2E7m8WEAA3l0P,CD0inddUIAA91oI
CD0aO9ZUUAAYut1,CDcaowiXIAAuK7k,,,CDqNJkWVAAEFczC,CDdxOTiWMAAKNUg,CD2eDjHUIAAjG-S,CD0IubbUMAAsSA5
CD0a-woUgAAK-Ip,CDcbCKTVIAE9gsj,,,CDqPnxGUUAAIkQt,CDe4PSdUgAI4ZtF,CD2EUTfVEAAfsSW,CD0Jix7VEAEWo_6
CD0aXdyWgAABr39,CDcCH4PUkAAj2EV,,,CDqRbKTUEAAyj--,CDf3DvCWIAAInss,CD2jlB7WoAAlVMj,CD0JK7WVIAEO4Sd
CD0B1BQVEAAV3El,CDcEEpbUgAA4Kt1,,,CDr0Tm2UUAAFwse,CDf3mGtUsAAmcW5,CD2k1SeW8AAHX9q,CD0Kw3UVAAAPhgQ
CD0bcfTVIAAw83O,CDcfx4kUgAETXBA,,,CDrcEPXUsAE82hI,CDf9K-CUIAE6c5h,CD2lFPTWYAAmZeB,CD0k-ZUUIAEebyr
CD0BDWpW8AANoRa,CDcifeCW0AEfi7L,,,CDrH6rLUgAAHAaY,CDfbfhRVAAAjaHp,CD2LgP9XIAAiyP3,CD0l9tVWIAAoCcc
CD0BMFkUEAEQe-5,CDclNUzWoAEBt0n,,,CDrjqKdWYAEx-ZL,CDfIGNzVIAEP6fA,CD2LTeeWoAELVff,CD0m9szUgAAdGZt
CD0BrvMUgAAU2Wb,CDcNEgrUgAAgBQR,,,CDrmwyPUUAEwKCS,CDflBTZWYAAOpis,CD2m3SSWYAAF5iw,CD0Me_uW8AAHlsh
CD0bxA2WMAARCF_,CDcnIJDUsAA8lgn,,,CDrNegYUUAADRb_,CDfOVwOW8AAB7BA,CD2MCh0UsAAFLOE,CD0mkArW0AEr8ho
CD0C_N0VIAAeh3V,CDcOPInUkAAvYDM,,,CDsL3C7WoAEd2WE,CDfSIw4UUAA_1oT,CD2mR1WWAAIUzfp,CD0mKKnUIAAuI77
CD0cBkqUEAAXjkF,CDcS8kCUMAMlp-5,,,CDs-sTlUMAA4tKZ,CDfYECsUgAAGJb4,CD2QJxDUEAE3pq1,CD0mphzUEAAXbK4
CD0CeZAUMAAtqqR,CDcsbXsVEAAGLZ2,,,CDsV49cW0AEHEHl,CDg9rjYWYAANUKe,CD2r49JVAAAmj5O,CD0MuNoVEAADkdb
CD0c-hrW0AEygNn,CDcTgzAVAAA3CcA,,,CDtgNMDWYAAkJjk,CDgAFW-VIAAER6B,CD2rPWAW8AAvidq,CD0-mYIVAAAZztR
CD0cjxUUsAEf-CL,CDctLwrUUAAet-x,,,CDtiRRaWoAA7aZs,CDgDIMNUkAAeEWn,CD2RtxsWIAE91NZ,CD0nhMYVAAA19Y6
CD0cRM_UgAAJ3o_,CDcYTT0UMAAuhsD,,,CD-tjmBVIAABmsx,CDgeEWeUsAAhACx,CD2rXXxWgAA-mr1,CD0NNt7UgAIqnHq
CD0DFodUEAAqDhs,CDd4jhZUEAEiAay,,,CDvp6OwVAAA_RDT,CDgeixVW0AAiM-p,CD2T13TVIAEdAj3,CD0nYCiXIAAhujN
CD0DsNtUIAAY6ZM,CDd4vnBWMAI4IaY,,,CDvQK77VAAA1Rmv,CDgISwKWAAAKzjr,CD2U8MHWEAA4ln3,CD0oW2BWMAAIteh
CD0dvcEVIAAaVvj,CDdnFmHWAAAvH-z,,,CDvt1oyUUAI-QwH,CDgIt7YW8AAq6RH,CD2wYazWYAEmMlk,CD0PsaUUIAAZUqQ
CD0e1fVUMAEf5b3,CDdPgJKVEAACjGf,,,CDvyH7WVIAA8EPR,CDgIWk5WAAA4zfi,CD2xtT0W8AIXaaa,CD0Q0aYVEAAtkWL
CD0EgChUEAAVhd_,CDdQGRgWgAEXH-W,,,CDw_LVpWMAM_dDQ,CDgl1JRUUAAUS4Q,CD2xzSPVAAAGqci,CD0QO9cVAAA__CA
